"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"120861016",-80.2061,25.7942,"OC",1.43847352678505
2005,"120861016",-80.2061,25.7942,"PM25",9.70169491525424
2005,"120861016",-80.2061,25.7942,"SO4",2.59281578947368
2005,"120861019",-80.2333,25.7678,"CO",1.1
2005,"120864002",-80.2103,25.7983,"CO",1.00818713450292
2005,"120864002",-80.2103,25.7983,"NO2",27.4366197183099
2005,"120866001",-80.4833,25.4714,"PM25",8.21847133757962
2005,"120890005",-81.4632,30.6586,"PM10",25.496875
2005,"120890005",-81.4632,30.6586,"SO2",19.2654320987654
2005,"120950004",-81.6019,28.7356,"PM10",15.6333333333333
2005,"120950008",-81.3814,28.4542,"O3",0.0395773480662983
2005,"120951004",-81.3456,28.5508,"PM10",17.3606557377049
2005,"120951004",-81.3456,28.5508,"PM25",9.7463556851312
2005,"120951005",-81.3786,28.5419,"CO",0.923561643835616
2005,"120952002",-81.3631,28.5994,"PM25",9.69169054441261
2005,"120952002",-81.3625,28.5964,"CO",0.790331491712707
2005,"120952002",-81.3625,28.5964,"NO2",19.9972527472527
2005,"120952002",-81.3625,28.5964,"O3",0.0407493112947658
2005,"120952002",-81.3625,28.5964,"PM10",16.7540983606557
2005,"120952002",-81.3625,28.5964,"SO2",2.36797752808989
2005,"120972002",-81.6367,28.3472,"O3",0.0388230088495575
2005,"120990008",-80.6667,26.7244,"PM10",17.0888888888889
2005,"120990008",-80.6667,26.7244,"PM25",7.89234449760766
2005,"120990009",-80.234,26.731,"PM25",8.07022653721683
2005,"120990009",-80.2339,26.7308,"O3",0.035277397260274
2005,"120990020",-80.0609,26.5912,"O3",0.0294441176470588
2005,"120991004",-80.0994,26.6931,"CO",1.17492537313433
2005,"120991004",-80.0994,26.6931,"NO2",21.1785714285714
2005,"120991008",-80.1012,26.7001,"CO",0.909893992932862
2005,"120992005",-80.0931,26.4578,"PM25",7.88149350649351
2005,"120992005",-80.0928,26.4569,"PM10",23.1206896551724
2005,"120993004",-80.0742,26.3701,"SO2",1.31921824104235
2005,"121010005",-82.3058,28.3319,"O3",0.0426666666666667
2005,"121012001",-82.7581,28.195,"O3",0.0427290502793296
2005,"121030004",-82.7319,27.9464,"O3",0.0403659217877095
2005,"121030012",-82.6594,27.7844,"PM10",23.3050847457627
2005,"121030018",-82.74,27.7856,"PM25",10.4366946778711
2005,"121030018",-82.7399,27.7859,"CO",0.601666666666667
2005,"121030018",-82.7399,27.7859,"NO2",18.5671232876712
2005,"121030018",-82.7399,27.7859,"O3",0.0375369863013699
2005,"121030018",-82.7399,27.7859,"PM10",16.2586206896552
2005,"121030023",-82.6232,27.8636,"SO2",14.4969135802469
2005,"121030023",-82.6231,27.8636,"SO2",10.2972972972973
2005,"121030024",-82.7281,27.7928,"CO",1.04630136986301
2005,"121031009",-82.7822,27.9859,"PM25",9.46864406779661
2005,"121032006",-82.71,28.0472,"CO",0.859452054794521
2005,"121032008",-82.6806,27.8925,"CO",1.03379120879121
2005,"121033002",-82.6915,27.8717,"SO2",8.03055555555556
2005,"121033004",-82.7747,27.8956,"PM10",21.2033898305085
2005,"121035002",-82.7008,28.09,"O3",0.0401795580110497
2005,"121035002",-82.7008,28.09,"PM10",15.4666666666667
2005,"121035002",-82.7007,28.0903,"SO2",7.38904109589041
2005,"121035003",-82.7397,28.1417,"SO2",8.46027397260274
2005,"121050010",-82.0176,27.8564,"PM10",19.3033707865169
2005,"121050010",-82.0176,27.8564,"SO2",11.8615384615385
2005,"121052006",-81.9603,27.8969,"PM10",19.0394366197183
2005,"121056005",-82.0003,27.9394,"O3",0.0393873626373626
2005,"121056006",-81.9722,28.0289,"O3",0.0403186813186813
2005,"121056006",-81.9722,28.0292,"PM25",9.86521739130435
2005,"121071008",-81.6565,29.6877,"PM10",25.8200692041523
2005,"121071008",-81.6565,29.6877,"SO2",9.71779141104295
2005,"121071008",-81.6565,29.6878,"PM10",18.8918918918919
2005,"121071008",-81.6565,29.6878,"SO2",10.5405405405405
2005,"121111002",-80.4083,27.4489,"NO2",23.7402597402597
2005,"121111002",-80.4083,27.4489,"O3",0.0363988269794721
2005,"121111002",-80.4083,27.4489,"PM25",9.06699029126214
2005,"121130015",-87.008,30.3941,"O3",0.0490392857142857
2005,"121150013",-82.5075,27.2906,"PM25",9.25762711864407
2005,"121150013",-82.5072,27.2906,"PM10",14.9180327868852
2005,"121151003",-82.5228,27.2994,"PM10",18.5245901639344
2005,"121151004",-82.5311,27.3356,"CO",1.35753424657534
2005,"121151005",-82.5706,27.3069,"O3",0.0439505494505495
2005,"121151006",-82.48,27.3503,"O3",0.0394203296703297
2005,"121151006",-82.48,27.3503,"PM10",18.603305785124
2005,"121151006",-82.4797,27.3503,"SO2",2.41077441077441
2005,"121152001",-82.4361,27.1008,"PM10",14.7377049180328
2005,"121152002",-82.3626,27.0892,"O3",0.0398763736263736
2005,"121171002",-81.3106,28.7461,"O3",0.0410863509749304
2005,"121171002",-81.3106,28.7461,"PM10",18.1507246376812
2005,"121171002",-81.31,28.7456,"PM25",10.0023255813953
2005,"121272001",-80.9939,29.1089,"O3",0.0385518207282913
2005,"121275002",-81.0531,29.2067,"PM25",9.19752066115703
2005,"121275002",-81.0525,29.2067,"O3",0.0374651162790698
2005,"121275002",-81.0525,29.2067,"PM10",19.9171428571429
